zcta10,stateco,alloc,puma10,boro,CD,pumaname,sub_boro,per_in_puma,per_of_puma
10002,36061,x,3809,Manhattan,3,Chinatown & Lower East Side,Lower East Side/Chinatown,1.0,0.494
10003,36061,x,3809,Manhattan,3,Chinatown & Lower East Side,Lower East Side/Chinatown,0.467,0.159
10004,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1.0,0.021
10005,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1.0,0.048
10006,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1.0,0.02
10007,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,0.878,0.040999999999999995
10009,36061,x,3809,Manhattan,3,Chinatown & Lower East Side,Lower East Side/Chinatown,0.73,0.272
10010,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,0.809,0.17
10011,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,0.77,0.271
10012,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1.0,0.161
10013,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,0.812,0.151
10014,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,0.99,0.212
10016,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,0.905,0.325
10017,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,0.996,0.109
10018,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.036000000000000004
10019,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,0.909,0.26899999999999996
10020,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0.0
10021,36061,x,3805,Manhattan,8,Upper East Side,Upper East Side,1.0,0.198
10022,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,0.9359999999999999,0.198
10023,36061,x,3806,Manhattan,7,Upper West Side & West Side,Upper West Side,1.0,0.315
10024,36061,x,3806,Manhattan,7,Upper West Side & West Side,Upper West Side,1.0,0.306
10025,36061,x,3806,Manhattan,7,Upper West Side & West Side,Upper West Side,0.682,0.33299999999999996
10026,36061,x,3803,Manhattan,10,Central Harlem,Central Harlem,0.981,0.281
10027,36061,x,3802,Manhattan,9,"Hamilton Heights, Manhattanville & West Harlem",Morningside Heights/Hamilton Heights,0.603,0.28300000000000003
10028,36061,x,3805,Manhattan,8,Upper East Side,Upper East Side,1.0,0.205
10029,36061,x,3804,Manhattan,11,East Harlem,East Harlem,1.0,0.6459999999999999
10030,36061,x,3803,Manhattan,10,Central Harlem,Central Harlem,0.92,0.209
10031,36061,x,3802,Manhattan,9,"Hamilton Heights, Manhattanville & West Harlem",Morningside Heights/Hamilton Heights,1.0,0.44299999999999995
10032,36061,x,3801,Manhattan,12,"Washington Heights, Inwood & Marble Hill",Washington Heights/Inwood,0.9640000000000001,0.27899999999999997
10033,36061,x,3801,Manhattan,12,"Washington Heights, Inwood & Marble Hill",Washington Heights/Inwood,1.0,0.272
10034,36061,x,3801,Manhattan,12,"Washington Heights, Inwood & Marble Hill",Washington Heights/Inwood,1.0,0.196
10035,36061,x,3804,Manhattan,11,East Harlem,East Harlem,0.941,0.272
10036,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.171
10037,36061,x,3803,Manhattan,10,Central Harlem,Central Harlem,0.588,0.086
10038,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,0.6809999999999999,0.09300000000000001
10039,36061,x,3803,Manhattan,10,Central Harlem,Central Harlem,1.0,0.207
10040,36061,x,3801,Manhattan,12,"Washington Heights, Inwood & Marble Hill",Washington Heights/Inwood,1.0,0.21100000000000002
10044,36061,x,3805,Manhattan,8,Upper East Side,Upper East Side,1.0,0.053
10065,36061,x,3805,Manhattan,8,Upper East Side,Upper East Side,1.0,0.147
10069,36061,x,3806,Manhattan,7,Upper West Side & West Side,Upper West Side,1.0,0.027000000000000003
10075,36061,x,3805,Manhattan,8,Upper East Side,Upper East Side,1.0,0.11900000000000001
10103,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.0
10110,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0.0
10111,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0.0
10112,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0.0
10115,36061,x,3802,Manhattan,9,"Hamilton Heights, Manhattanville & West Harlem",Morningside Heights/Hamilton Heights,,0.0
10119,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.001
10128,36061,x,3805,Manhattan,8,Upper East Side,Upper East Side,0.96,0.264
10152,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10153,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0.0
10154,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10162,36061,x,3805,Manhattan,8,Upper East Side,Upper East Side,1.0,0.008
10165,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,1.0,0.0
10167,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10168,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10169,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10170,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,1.0,0.0
10171,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10172,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10173,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.0
10174,36061,x,3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0.0
10177,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0.0
10199,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.0
10271,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,,0.0
10278,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,,0.0
10279,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,,0.0
10280,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1.0,0.053
10282,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1.0,0.032
11004,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1.0,0.07400000000000001
11005,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1.0,0.01
11101,36081,x,4101,Queens,1,Astoria & Long Island City,Astoria,0.603,0.08800000000000001
11102,36081,x,4101,Queens,1,Astoria & Long Island City,Astoria,1.0,0.196
11103,36081,x,4101,Queens,1,Astoria & Long Island City,Astoria,0.995,0.222
11104,36081,x,4109,Queens,2,Sunnyside & Woodside,Sunnyside/Woodside,1.0,0.203
11105,36081,x,4101,Queens,1,Astoria & Long Island City,Astoria,1.0,0.21100000000000002
11106,36081,x,4101,Queens,1,Astoria & Long Island City,Astoria,1.0,0.223
11109,36081,x,4109,Queens,2,Sunnyside & Woodside,Sunnyside/Woodside,1.0,0.026000000000000002
11351,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,,0.0
11354,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1.0,0.221
11355,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1.0,0.34600000000000003
11356,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1.0,0.094
11357,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1.0,0.158
11358,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,0.617,0.09300000000000001
11359,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,,0.0
11360,36081,x,4103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,0.784,0.06
11361,36081,x,4104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,1.0,0.245
11362,36081,x,4104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,1.0,0.153
11363,36081,x,4104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,1.0,0.06
11364,36081,x,4104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,0.998,0.295
11365,36081,x,4106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,0.747,0.205
11366,36081,x,4106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,1.0,0.08800000000000001
11367,36081,x,4106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,0.903,0.24100000000000002
11368,36081,x,4107,Queens,4,Elmhurst & South Corona,Elmhurst/Corona,0.528,0.397
11369,36081,x,4102,Queens,3,Jackson Heights & North Corona,Jackson Heights,1.0,0.21100000000000002
11370,36081,x,4102,Queens,3,Jackson Heights & North Corona,Jackson Heights,0.556,0.12
11371,36081,x,4102,Queens,3,Jackson Heights & North Corona,Jackson Heights,,0.0
11372,36081,x,4102,Queens,3,Jackson Heights & North Corona,Jackson Heights,0.998,0.363
11373,36081,x,4107,Queens,4,Elmhurst & South Corona,Elmhurst/Corona,0.8740000000000001,0.603
11374,36081,x,4108,Queens,6,Forest Hills & Rego Park,Rego Park/Forest Hills,0.972,0.379
11375,36081,x,4108,Queens,6,Forest Hills & Rego Park,Rego Park/Forest Hills,1.0,0.614
11377,36081,x,4109,Queens,2,Sunnyside & Woodside,Sunnyside/Woodside,0.898,0.602
11378,36081,x,4110,Queens,5,"Ridgewood, Glendale & Middle Village",Middle Village/Ridgewood,0.995,0.204
11379,36081,x,4110,Queens,5,"Ridgewood, Glendale & Middle Village",Middle Village/Ridgewood,1.0,0.204
11385,36081,x,4110,Queens,5,"Ridgewood, Glendale & Middle Village",Middle Village/Ridgewood,1.0,0.579
11411,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.973,0.096
11412,36081,x,4112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.9520000000000001,0.15
11413,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.831,0.171
11414,36081,x,4113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,1.0,0.212
11415,36081,x,4111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,1.0,0.135
11416,36081,x,4111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,0.971,0.16899999999999998
11417,36081,x,4113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,0.9590000000000001,0.225
11418,36081,x,4111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,1.0,0.253
11419,36081,x,4113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,0.513,0.196
11420,36081,x,4113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,1.0,0.359
11421,36081,x,4111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,1.0,0.27399999999999997
11422,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1.0,0.161
11423,36081,x,4112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.753,0.102
11424,36081,x,4111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,,0.0
11426,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1.0,0.09300000000000001
11427,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.667,0.083
11428,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.983,0.1
11429,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.986,0.131
11430,36081,x,4113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,1.0,0.001
11432,36081,x,4106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,0.5820000000000001,0.23
11433,36081,x,4112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,1.0,0.14800000000000002
11434,36081,x,4112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.883,0.23600000000000002
11435,36081,x,4112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.551,0.133
11436,36081,x,4112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,1.0,0.081
11451,36081,x,4112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,,0.0
11691,36081,x,4114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1.0,0.522
11692,36081,x,4114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1.0,0.161
11693,36081,x,4114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1.0,0.10400000000000001
11694,36081,x,4114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1.0,0.177
11697,36081,x,4114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1.0,0.035
10301,36085,x,3903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,0.966,0.218
10302,36085,x,3903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,1.0,0.109
10303,36085,x,3903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,1.0,0.15
10304,36085,x,3903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,0.667,0.16
10305,36085,x,3902,Staten Island,2,New Springville & South Beach,Mid-Island,0.691,0.217
10306,36085,x,3902,Staten Island,2,New Springville & South Beach,Mid-Island,0.523,0.22
10307,36085,x,3901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1.0,0.08800000000000001
10308,36085,x,3901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1.0,0.171
10309,36085,x,3901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1.0,0.203
10310,36085,x,3903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,1.0,0.142
10311,36085,x,3902,Staten Island,2,New Springville & South Beach,Mid-Island,,0.0
10312,36085,x,3901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1.0,0.371
10314,36085,x,3902,Staten Island,2,New Springville & South Beach,Mid-Island,0.696,0.447
11001,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.986,0.131
11040,36081,x,4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.986,0.131
10041,36061,x,3810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1.0,0.021
10118,36061,x,3807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1.0,0.146
11249,36047,x,4001,Brooklyn,1,Greenpoint & Williamsburg,Williamsburg/Greenpoint,1.0,0.611
